# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.559     2595.930
       1.005      211.000      266.281    29060.352
       2.009      244.800      436.355    32695.359
       3.014      199.000      542.621    32913.578
       4.020      342.100      650.730    32937.727
       5.029     1170.200     1948.555    34893.727
       6.043     1549.400     2896.297    34893.727
       7.057     1469.200     3375.227    34958.727
       8.072     1499.100     3673.879    34958.727
       9.090     1062.800     3945.730    35155.727
      10.096      807.400     4179.023    35155.727
      11.106     1090.000     4463.375    35291.727
      12.121     1442.100     4824.762    35306.727
      13.140     1483.500     4836.863    35308.727
      14.155     1560.400     5073.660    35308.727
      15.163     1250.300     5250.695    35308.727
      16.171      796.800     5546.023    35308.727
