# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.258     2595.930
       1.004      215.000      264.957    29060.352
       2.010      250.600      501.984    32693.359
       3.015      191.100      635.438    32913.578
       4.022      316.700      736.047    33065.727
       5.030      898.800     1504.219    35295.727
       6.047     1463.800     2668.637    35295.727
       7.063     1550.200     3264.234    35296.727
       8.087     1372.000     3996.727    35299.727
       9.098      536.500     4226.137    35302.727
      10.110      627.000     4669.520    35313.727
      11.137     1482.400     5228.719    35313.727
      12.152     1503.700     5871.102    35313.727
      13.160     1488.500     6466.352    35313.727
      14.177     1244.300     9921.180    35315.727
      15.187     1288.100    10081.680    35349.727
      16.201     1384.400    11467.148    35351.727
      17.214     1486.100    12176.559    35357.285
      18.230     1347.700    12213.527    35357.285
      19.245      723.600    12214.027    35357.285
