# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       56.430     3575.633
       1.004      223.100      269.582    29062.352
       2.009      246.800      427.773    32825.359
       3.013      191.100      536.227    32915.578
       4.018      625.900      739.551    33871.586
       5.026     1376.800     2300.531    33869.727
       6.063     1519.600     5076.559    33869.727
       7.084     1424.300     6758.500    33934.727
       8.119     1522.800     8553.988    33934.727
       9.136     1390.800     9226.762    33934.727
      10.149     1454.600     9526.660    33934.727
      11.170     1457.500     9741.035    33934.727
      12.183     1553.500     9751.621    33934.727
      13.204     1458.700     9943.957    33934.727
      14.233     1439.200    10088.891    34194.727
      15.252     1448.500    10093.805    34194.727
      16.263     1453.200    10259.488    34194.727
      17.286     1456.300    10455.977    34194.727
      18.307     1473.700    10480.688    34194.727
      19.339     1516.700    10653.773    34326.727
      20.366     1430.000    10848.875    34326.727
      21.387     1441.500    10960.645    34326.727
      22.403     1430.800    10968.145    34326.727
      23.423     1453.300    11199.594    34326.727
      24.432     1393.300    11370.133    34326.727
      25.452     1558.500    11370.258    34326.727
      26.472     1434.300    11563.141    34326.727
      27.489     1424.100    11758.688    34326.727
      28.510     1549.500    11758.812    34326.727
      29.530     1373.600    11954.945    34326.727
      30.550     1441.400    12042.926    34326.727
      31.556     1364.200    12052.523    34326.727
      32.573     1391.400    12314.023    34326.727
      33.589     1514.900    12314.148    34326.727
      34.603     1448.700    12510.234    34326.727
      35.646     1369.600    12722.289    34326.727
      36.666     1554.800    12722.289    34326.727
      37.686     1416.700    12922.289    34326.727
      38.706     1406.900    13117.039    34326.727
      39.712     1511.300    13119.242    34326.727
      40.736     1390.000    13306.406    34326.727
      41.757     1512.200    13309.406    34326.727
      42.766     1316.600    13434.684    34326.727
      43.787     1412.100    13661.934    34326.727
      44.807     1550.500    13661.934    34326.727
      45.827      986.300    13858.188    34326.727
      46.832      703.200    13949.688    34326.727
      47.838      185.000    13952.312    34326.727
      48.844      881.800    14002.387    34326.727
      49.849     1313.000    14069.512    34586.727
      50.857     1093.200    14092.387    35334.727
      51.862     1326.300    14093.762    35334.727
      52.869     1296.700    14104.012    35351.727
      53.880     1271.000    14105.262    35352.727
      54.888     1433.300    14124.637    35427.727
      55.895     1285.200    14111.512    35432.727
      56.946     1407.700    14122.637    35486.727
      57.956     1274.200    14127.887    35492.727
      58.973     1424.200    14133.148    35492.727
      59.983     1292.100    14131.199    35492.727
      60.992     1319.200    14108.863    35492.727
      61.999     1344.700    14109.113    35492.727
      63.013     1268.400    14091.203    35492.727
      64.019     1402.400    14092.203    35492.727
      65.036     1298.400    14072.562    35492.727
      66.046     1017.700    14771.559    35494.727
      67.066     1433.300    14794.434    35494.727
      68.083     1466.900    14782.992    35494.727
      69.102     1478.600    14704.121    35494.727
      70.123     1473.600    14622.094    35494.727
      71.129     1536.200    14622.219    35494.727
      72.143     1451.700    14622.469    35494.727
      73.159     1480.500    14622.469    35494.727
      74.166     1493.400    14622.594    35494.727
      75.173     1544.000    14642.484    35494.727
      76.183     1462.500    14662.457    35494.727
      77.203     1475.700    14672.574    35494.727
      78.216     1487.600    14686.773    35494.727
      79.259     1560.500    14747.188    35494.727
      80.276     1465.800    14783.473    35494.727
      81.296     1492.000    14799.441    35494.727
      82.313     1468.700    14813.480    35494.727
      83.336     1319.600    14827.488    35494.727
      84.379      205.400    14825.188    35485.727
