# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       41.633     3572.785
       1.005      217.000      274.047    29060.352
       2.009      253.000      436.617    32695.359
       3.014      187.900      552.020    32915.578
       4.020      517.000      763.781    33865.727
       5.028     1365.500     2631.660    33869.727
       6.061     1459.000     5206.906    33869.727
       7.082     1434.000     6536.590    33934.727
       8.105     1495.400     7841.133    33934.727
       9.126     1462.500     9525.086    33934.727
      10.148     1438.800     9706.254    33934.727
      11.161     1316.100     9839.285    34198.590
      12.190     1438.000    10265.395    34198.590
      13.211     1442.800    10493.219    34328.590
      14.235     1421.300    10853.109    34328.590
      15.258     1551.000    10823.609    34328.590
      16.273     1377.300    11167.102    34330.590
      17.280     1420.500    11321.301    34330.590
      18.291     1531.000    11344.109    34330.590
      19.315     1466.800    11659.016    34330.590
      20.336     1376.400    12090.598    34330.590
      21.347     1438.600    12218.238    34330.590
      22.355     1529.200    12221.113    34330.590
      23.375     1418.900    12553.105    34330.590
      24.397     1441.500    12869.645    34330.590
      25.405     1507.400    12879.145    34330.590
      26.425     1388.700    13204.348    34330.590
      27.430     1401.100    13415.770    34330.590
      28.441     1507.900    13416.395    34330.590
      29.462     1389.800    13760.535    34330.590
      30.489     1517.800    13760.535    34330.590
      31.510     1399.300    14128.168    34330.590
      32.522     1399.000    14444.711    34330.590
      33.545     1426.900    14494.637    34330.590
      34.561     1384.600    14649.602    34330.590
      35.583     1444.600    14980.320    34330.590
      36.591     1496.800    14985.445    34330.590
      37.614     1229.500    15273.422    34330.590
      38.619      899.100    15293.656    34340.488
