# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.480     2595.930
       1.004      215.100      270.996    29060.352
       2.010      248.600      505.535    32693.359
       3.016      190.000      668.832    32915.578
       4.020      491.600      899.438    33867.551
       5.029     1417.000     3334.188    33869.727
       6.058     1446.200     5764.734    33869.727
       7.075     1435.000     7616.984    33934.727
       8.114     1502.100     9347.512    33934.727
       9.152     1470.100     9573.332    33934.727
      10.189     1381.400     9915.863    34194.727
      11.202     1455.500    10096.309    34194.727
      12.212     1383.900    10386.363    34194.727
      13.234     1401.300    10707.379    34194.727
      14.252     1416.600    10813.484    34194.727
      15.259     1452.100    11038.125    34326.727
      16.280      948.500    11274.562    34326.727
      17.285      397.000    11396.867    34326.727
      18.292      751.700    11417.742    34529.727
      19.308     1395.400    11959.730    35183.590
      20.333      408.900    12456.973    35183.590
      21.342     1115.400    13203.152    35316.590
      22.355     1210.500    13523.027    35397.590
