# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.570     2595.930
       1.004      213.100      268.770    29060.352
       2.009      250.900      434.176    32693.359
       3.013      204.100      542.164    32913.578
       4.018      323.600      636.992    32937.727
       5.024     1413.000     2230.969    34241.727
       6.034     1551.600     3730.281    34241.727
       7.048     1233.600     4224.188    35218.727
       8.054     1350.100     4809.734    35286.727
       9.071     1557.100     5310.242    35291.727
      10.086     1463.400     5718.035    35291.727
      11.094     1172.600     6575.133    35296.727
      12.109     1470.300     6935.094    35296.727
      13.124     1522.300     7553.496    35296.727
      14.148     1307.700     7570.902    35302.727
