# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.828     2595.930
       1.004      212.100      266.688    29060.352
       2.009      250.900      430.016    32693.359
       3.013      197.100      539.414    32913.578
       4.017      212.100      603.492    33841.719
       5.025     1378.200     1154.801    34119.727
       6.040     1142.000     2147.137    34123.727
       7.045     1533.200     2750.828    34513.727
       8.065     1312.800     3223.371    34513.727
       9.089     1549.800     3745.387    34513.727
      10.110     1235.200     4097.496    34645.727
      11.118     1373.100     4844.832    35296.285
      12.125     1324.100     6010.176    35296.285
      13.135     1288.100     6581.730    35297.285
      14.171     1134.200     7069.180    35297.285
