approach,num_misclassifications,mean_normalized_dollar_cost,mean_normalized_runtime
Flora,0,1.0519114516365333,1.5780651146560123
Flora,1,1.1598513935638826,1.7547449375398558
Flora,2,1.2677913354912325,1.9314247604236998
Flora,3,1.3757312774185821,2.1081045833075427
Flora,4,1.4836712193459323,2.284784406191387
Flora,5,1.5916111612732817,2.46146422907523
Flora,6,1.699551103200631,2.638144051959073
Flora,7,1.807491045127981,2.8148238748429173
Flora,8,1.9154309870553305,2.991503697726761
Flora,9,2.0233709289826805,3.168183520610604
