approach,normalized_dollar_cost,normalized_runtime
random_selection,1.9406601968274162,3.484400824455209
minimize_cpu,2.1260073027470203,7.837184319217469
maximize_cpu,1.589954590205789,1.3455948966068305
minimize_memory,1.8644253452026096,3.1655162960418326
maximize_memory,1.4874984859125893,1.4418288265001815
Juggler,1.334267777445289,2.9730976584376374
Flora_one_class,1.3362588980986063,1.9516259869257675
Crispy,1.3842936772832382,2.662449084676032
Flora,1.051911451636533,1.5780651146560125
min_cost,1.0,1.7191539753286917
min_runtime,1.124089381388459,1.0
